Student ID,Subject 1,Score 1,Subject 2,Score 2,Subject 3,Score 3,Subject 4,Score 4,Subject 5,Score 5,Subject 6,Score 6
6o0p8Zwg3AbvEf14PW34q7ByhHX2,SOME BASIC CONCEPTS IN CHEMISTRY,5,REDOX REACTIONS AND ELECTROCHEMISTRY,3.0,"Sets, Relation and Functions",12.0,Trigonometry,4.0,,,,
71aeV1qFeLb76liBxvsZlQZQUDv2,CHEMICAL THERMODYNAMICS,-5,,,,,,,,,,
BoSgUNVn14XmlodWvZKU4WTH6mG2,CURRENT ELECTRICITY,15,CURRENT ELECTRICITY,12.0,,,,,,,,
Vk57diRnDFXevVNklyFWcjKElMk1,Matrices and Determinants,8,,,,,,,,,,
ZLrqeUPXTIg1AL2JGVLraTVKR2J2,CHEMICAL KINETICS,8,SOME BASIC CONCEPTS IN CHEMISTRY,11.0,CHEMICAL KINETICS,8.0,ATOMIC STRUCTURE,23.0,,,,
cN5j4TW8KsWLZuSZ0WB6eWdhrPm1,SOME BASIC CONCEPTS IN CHEMISTRY,31,CHEMICAL BONDING AND MOLECULAR STRUCTURE,25.0,SOME BASIC PRINCIPLES OF ORGANIC CHEMISTRY,20.0,,,,,,
k80sL0U5EoTBkehsoelmECj96R73,"Sets, Relation and Functions",5,ATOMIC STRUCTURE,30.0,Diffrential Equations,17.0,Permutations and Combinations,26.0,Permutations and Combinations,27.0,ORGANIC COMPOUNDS CONTAINING OXYGEN,23.0
lKLhPFboTzgyLf2tnRRkHzH5pGb2,PHYSICS AND MEASUREMENT,10,Permutations and Combinations,12.0,Diffrential Equations,18.0,Diffrential Equations,18.0,Diffrential Equations,-3.0,,
uhaHKci85DahTQptVzalLMPLb7v2,SOME BASIC CONCEPTS IN CHEMISTRY,-5,,,,,,,,,,
uxqM7U9z9hc7i4U3CF0LNcz0Bzi2,REDOX REACTIONS AND ELECTROCHEMISTRY,10,,,,,,,,,,
xuniMXYrIlQrIqzAgs9goewvQTo1,Diffrential Equations,31,,,,,,,,,,
